snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,underlying_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-03-17T17:11:45Z,2026-03-19,2,73000.0,P,0.0075,0.008,0.0079,74196.3868,0.5532,-0.32279,0.00013,17.72252,39.3,19.0
2026-03-17T17:11:45Z,2026-03-19,2,73500.0,C,0.0185,0.02,0.0195,74196.3868,0.5422,0.61002,0.00014,18.94555,17.1,1.4
2026-03-17T17:11:45Z,2026-03-19,2,73500.0,P,0.0095,0.0105,0.0101,74196.3868,0.5422,-0.38998,0.00014,18.94555,12.3,4.0
2026-03-17T17:11:45Z,2026-03-19,2,74000.0,C,0.015,0.016,0.0155,74196.3868,0.5347999999999999,0.53675,0.00015,19.61591,48.7,14.0
2026-03-17T17:11:45Z,2026-03-19,2,74000.0,P,0.0125,0.0135,0.0129,74196.3868,0.5347999999999999,-0.46325,0.00015,19.61591,5.3,8.6
2026-03-17T17:11:45Z,2026-03-19,2,74500.0,C,0.0115,0.0125,0.012,74196.3868,0.5257999999999999,0.46049,0.00015,19.60288,121.6,21.4
2026-03-17T17:11:45Z,2026-03-19,2,74500.0,P,0.0155,0.0165,0.0161,74196.3868,0.5257999999999999,-0.53951,0.00015,19.60288,32.2,32.3
2026-03-17T17:11:45Z,2026-03-19,2,75000.0,C,0.0085,0.0095,0.0091,74196.3868,0.5172,0.3837,0.00015,18.85649,45.3,3.3
2026-03-17T17:11:45Z,2026-03-19,2,75000.0,P,0.019,0.0205,0.0199,74196.3868,0.5172,-0.6163,0.00015,18.85649,35.5,86.7
2026-03-17T17:11:45Z,2026-03-19,2,75500.0,C,0.0065,0.007,0.0068,74196.3868,0.517,0.31241,0.00014,17.47948,11.5,13.5
2026-03-17T17:11:45Z,2026-03-19,2,75500.0,P,0.0225,0.0265,0.0244,74195.9073,0.517,-0.68765,0.00014,17.47776,9.9,12.9
2026-03-17T17:11:45Z,2026-03-19,2,76000.0,C,0.0046,0.0047,0.005,74196.3868,0.5172,0.2481,0.00012,15.62797,108.5,28.6
2026-03-17T17:11:45Z,2026-03-19,2,76000.0,P,0.0265,0.032,0.0293,74196.4562,0.5172,-0.75189,0.00012,15.62828,2.5,2.5
2026-03-17T17:11:45Z,2026-03-19,2,76500.0,C,0.0032,0.0036,0.0036,74195.9073,0.517,0.1917,0.00011,13.47314,4.9,5.0
2026-03-17T17:11:45Z,2026-03-19,2,76500.0,P,0.0028,0.0395,0.0346,74195.9073,0.517,-0.8083,0.00011,13.47314,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,77000.0,C,0.0022,0.0026,0.0025,74196.3868,0.5185,0.14513,9e-05,11.26147,71.2,27.1
2026-03-17T17:11:45Z,2026-03-19,2,77000.0,P,0.0055,0.045,0.0403,74195.9073,0.5185,-0.85491,9e-05,11.25917,0.0,0.0
